ï»¿facilityId,serviceLineLevel3,orderId,lineItemId,sku,masterMaterialId,batchId,deviationNumber,deviationDescription,deviationTypeName,deviationStatusName,deviationSeverityName,deviationOpenedDate,deviationClosedDate,deviationProjectedCloseDate,START_DATE,END_DATE,ACTIVE,CHANGE,DATE_SENT,ID,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1013,Steriles         ,51182,10,510356,5000000761,MM330M0401,"361,099        ",lFG LU bRVOW                                                                                                              ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2022.07.18         ,2022.08.16         ,2022.08.17                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1005,OSD              ,50641,10,3000004486,7000000413,CKDFC     ,"159,990        ",uLIVRTM KZIGRXOVH ULFMW WFIRMT XSZITRMT LU oZXGLHV GL YOVMWVI ULI lGVAOZ 69NT yZGXS xpwux                                 ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2021.08.18         ,2021.09.27         ,2021.09.17                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,2022300713,10,360478,7000000084,0010616543,"424,019        ",llh LM zHHZB GVHG ULI YZGXS 9989335701 LU znt-468 9.5 NT/ERZO 7x hGVK                                                     ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2022.10.25         ,2022.11.09         ,2022.11.24                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,2020300019,10,361072,7000000132,MD0079    ,"191,075        ",nRXILYRLOLTRXZO VMERILMNVMGZO NLMRGLIRMT VCXFIHRLM hGVIROV zIVZ 4 - ZRI                                                   ,vMERILMNVMGZO                    ,xOLHVW - wLMV               ,nRMLI                ,2020.03.31         ,2020.06.23         ,2020.04.30                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,2022300653,10,360478,7000000084,0010611195,"436,693        ","nRHHRMT ulin-999972388 \"" XSVXP ORHG NZGVIRZO OLZWRMT - UROORMT XLMURTFIZGRLM\""                                           ",wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2022.11.10         ,2022.11.18         ,2022.12.10                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,57679,10,4000006492,5000004318,CPBYV     ,"480,029        ","iVXRKV ZXXRWVMGZOOB ZWEZMXVW ZUGVI HKIZBRMT 5 PT HLOFGRLM ULI KZM z, hLGLIZHRY (znt-489) gZYOVGH 879NT, YZGXS xmhnc       ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.01.16         ,2023.02.17         ,2023.02.15                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,2021300701,10,361366,7000000151,0010504103,"207,603        ",er oRNRGH vCXVVWVW                                                                                                        ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2021.11.08         ,2021.11.18         ,2021.12.08                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,50676,10,363266,7000001108,0010613565,"571,960        ",nRXILYRLOLTRXZO VMERILMNVMGZO NLMRGLIRMT VCXFIHRLM hGVIROV zIVZ 5 -  ZRI                                                  ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2023.05.24         ,2023.06.23         ,2023.06.23                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,73158,10,26659,5000000809,AT3941B   ,"481,323        ",87/72/7977 @8352 661279 ? xSVHG o8 tROVZW zg6058z zXGRLM gRVI 7                                                           ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2023.01.18         ,2023.02.06         ,2023.02.17                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,49549,10,510349,5000000047,LM036M1001,"563,091        ",yRLRMWRXZGLI DRGS KLHRGREV IVHFOG (TILDGS) zgx 984 - hg7 pVB dLIW eZORWZGRLM                                              ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.05.10         ,2023.09.18         ,2023.06.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,48028,10,4000003006,5000001021,CGXKG     ,"49,654         ","llh ZHHZB IVHFOG ZMW OLD hxf IVHFOGH LYGZRMVW ULI kLMZGRMRY gZYOVGH, 84 NT, YZGXS # xtcpx.                                ",llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2021.01.29         ,2021.05.05         ,2021.02.28                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"400,451        ",0/0/77-0/89/77 7u890-mez-6-9.4/4.9 zNTVM zh3289z zXGRLM gRVI 8                                                            ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2022.09.18         ,2022.10.18         ,2022.10.18                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"416,052        ",hVEVM WZB HGVIRORGB LYHVIEZGRLMH MLG WLXFNVMGVW                                                                           ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2022.10.11         ,2022.10.14         ,2022.11.10                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"400,449        ",90/90/7977 792332 hVGFK oVUG uRMTVIKIRMGH zh3289z zNTVM zXGRLM gRVI 7                                                     ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2022.09.18         ,2022.10.18         ,2022.10.18                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"400,450        ",90/89/7977 786321 oVUG uRMTVIKIRMGH zh3289z zNTVM zXGRLM gRVI 7                                                           ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2022.09.18         ,2022.10.18         ,2022.10.18                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
